exp,lg,nm,pfm,sea
56.98967465468549,Bundesliga,FC Schalke 04,-12.283792301744308,10/11
44.18973309332939,Bundesliga,Hannover 96,22.869090436082377,10/11
55.75014657697856,Bundesliga,VfL Wolfsburg,-13.279558341684432,10/11
41.27140948191058,Bundesliga,1. FC Köln,7.90506110632472,10/11
45.90437281440656,Bundesliga,Eintracht Frankfurt,-7.904372814406559,10/11
56.85884267980022,Bundesliga,SV Werder Bremen,-11.035313268035509,10/11
51.28642123833428,Bundesliga,TSG 1899 Hoffenheim,-3.2275977089225107,10/11
42.29770515845479,Bundesliga,Borussia Mönchengladbach,-2.062411040807743,10/11
55.31292415726388,Bundesliga,VfB Stuttgart,-8.37174768667565,10/11
40.68114586961795,Bundesliga,SC Freiburg,8.495324718617347,10/11
44.718901348786765,Bundesliga,1. FC Nürnberg,7.810510415919116,10/11
49.10292977440677,Bundesliga,1. FSV Mainz 05,15.72059963735793,10/11
43.40572710816858,Bundesliga,1. FC Kaiserslautern,8.006037597713773,10/11
39.03653133704093,Bundesliga,FC St. Pauli,-6.624766631158584,10/11
44.476595112860494,Serie A,Cagliari,0.5234048871395063,10/11
57.07735017829758,Serie A,Lazio,8.92264982170243,10/11
45.18266275476835,Serie A,Catania,0.8173372452316583,10/11
50.4794037520091,Serie A,Genoa,-0.8682926408979833,10/11
42.66671045417277,Serie A,Chievo Verona,1.6666228791605664,10/11
54.14855637730799,Serie A,Fiorentina,-3.148556377307987,10/11
63.97114938256178,Serie A,Juventus,-5.971149382561791,10/11
72.27551177919761,Serie A,Milan,9.724488220802375,10/11
40.03114503212788,Serie A,Bologna,6.185071184088337,10/11
65.09266041824822,Serie A,Roma,-2.092660418248216,10/11
61.072691120532646,Serie A,Napoli,8.927308879467349,10/11
50.58640428471092,Serie A,Sampdoria,-14.586404284710936,10/11
71.16149381371699,Serie A,Inter,4.838506186283011,10/11
38.61776988575638,Serie A,Lecce,2.3822301142436153,10/11
56.44188068828754,Serie A,Udinese,9.558119311712467,10/11
53.44568554372147,Serie A,Palermo,2.5543144562785276,10/11
36.28283356363434,Serie A,Bari,-12.282833563634341,10/11
47.621802482396674,Serie A,Parma,-1.6218024823966735,10/11
40.51290269163543,Serie A,Cesena,2.4870973083645636,10/11
40.228181266041695,Serie A,Brescia,-7.363316401176832,10/11
61.693531056997976,La Liga,Valencia CF,9.306468943002017,10/11
48.50363784162204,La Liga,RCD Mallorca,-4.503637841622041,10/11
46.110615909642014,La Liga,CA Osasuna,0.8893840903579884,10/11
59.335574364506144,La Liga,Villarreal CF,2.6644256354938527,10/11
43.45885835397439,La Liga,RC Deportivo de La Coruña,-0.4588583539743887,10/11
86.03277682002543,La Liga,Real Madrid CF,5.967223179974569,10/11
89.89725013065791,La Liga,FC Barcelona,6.102749869342089,10/11
41.997082233253316,La Liga,Racing Santander,4.0029177667466875,10/11
60.214307003394964,La Liga,Sevilla FC,-2.2143070033949668,10/11
42.88848081473115,La Liga,Real Sporting de Gijón,4.111519185268845,10/11
49.10613934647084,La Liga,Getafe CF,-5.106139346470838,10/11
46.69485073095572,La Liga,RCD Espanyol,2.305149269044284,10/11
52.73900844001021,La Liga,Athletic Club de Bilbao,5.260991559989794,10/11
40.09181418897154,La Liga,UD Almería,-10.091814188971536,10/11
59.80598545717754,La Liga,Atlético Madrid,-1.8059854571775404,10/11
45.89992805290601,La Liga,Málaga CF,0.1000719470939826,10/11
45.07614325614651,La Liga,Real Zaragoza,-0.07614325614650097,10/11
42.53119354533854,La Liga,Hércules Club de Fútbol,-7.531193545338538,10/11
37.877384927182106,La Liga,Levante UD,7.122615072817894,10/11
44.37380705956991,La Liga,Real Sociedad,0.6261929404300908,10/11
80.40798706117407,Premier League,Manchester United,8.592012938825935,11/12
49.24262389008703,Premier League,Newcastle United,15.757376109912972,11/12
69.71447292440077,Premier League,Arsenal,0.2855270755992325,11/12
43.88057034052535,Premier League,West Bromwich Albion,3.1194296594746502,11/12
45.78858642676928,Premier League,Sunderland,-0.7885864267692788,11/12
68.40809764731651,Premier League,Liverpool,-16.408097647316506,11/12
36.3357137184738,Premier League,Wigan Athletic,6.6642862815262,11/12
45.54173212603777,Premier League,Aston Villa,-7.541732126037774,11/12
78.84237943366871,Premier League,Manchester City,10.157620566331293,11/12
53.81417654888915,Premier League,Everton,2.1858234511108448,11/12
38.78050502183059,Premier League,Blackburn Rovers,-7.780505021830596,11/12
67.4671808712175,Premier League,Tottenham Hotspur,1.5328191287825148,11/12
40.15680443266491,Premier League,Bolton Wanderers,-4.156804432664917,11/12
45.317024226725785,Premier League,Stoke City,-0.31702422672578434,11/12
48.587356878990775,Premier League,Fulham,3.41264312100923,11/12
73.88938480037436,Premier League,Chelsea,-9.889384800374359,11/12
36.887155180820606,Premier League,Wolverhampton Wanderers,-11.887155180820605,11/12
41.812894545222214,Premier League,Swansea City,5.187105454777788,11/12
40.13023391999308,Premier League,Queens Park Rangers,-3.130233919993077,11/12
39.63009373588499,Premier League,Norwich City,7.3699062641150075,11/12
46.616440499567396,Ligue 1,AJ Auxerre,-12.616440499567387,11/12
56.14489121651775,Ligue 1,Girondins de Bordeaux,4.855108783482249,11/12
44.36639182364054,Ligue 1,SM Caen,-6.366391823640536,11/12
44.39686413589453,Ligue 1,OGC Nice,-2.3968641358945275,11/12
49.66876364923648,Ligue 1,FC Lorient,-10.668763649236482,11/12
66.16564229013812,Ligue 1,Olympique Lyonnais,-2.165642290138135,11/12
52.586799975700345,Ligue 1,Toulouse FC,3.4132000242996523,11/12
70.01820004909955,Ligue 1,Paris Saint-Germain,8.981799950900456,11/12
43.380467412049626,Ligue 1,AS Nancy-Lorraine,1.6195325879503732,11/12
68.57123430300734,Ligue 1,LOSC Lille,5.428765696992658,11/12
57.340197231426345,Ligue 1,Stade Rennais FC,2.65980276857366,11/12
63.969406930552225,Ligue 1,Olympique de Marseille,-15.969406930552227,11/12
44.36965380440978,Ligue 1,FC Sochaux-Montbéliard,-2.369653804409781,11/12
48.19002746926522,Ligue 1,Valenciennes FC,-5.190027469265212,11/12
51.68515313260295,Ligue 1,AS Saint-Étienne,5.314846867397057,11/12
60.5652971606569,Ligue 1,Montpellier Hérault SC,21.434702839343117,11/12
44.07955985910856,Ligue 1,Stade Brestois 29,-3.079559859108552,11/12
37.16818884740675,Ligue 1,AC Ajaccio,3.831811152593248,11/12
43.67367662424384,Ligue 1,Évian Thonon Gaillard FC,6.326323375756151,11/12
39.83659607662679,Ligue 1,Dijon FCO,-3.8365960766267886,11/12
84.56057235115865,Bundesliga,FC Bayern Munich,-2.9723370570410164,11/12
48.89528554828387,Bundesliga,Hamburger SV,-8.659991430636811,11/12
60.20360341850274,Bundesliga,Bayer 04 Leverkusen,0.1493377579678382,11/12
76.50329806627542,Bundesliga,Borussia Dortmund,14.026113698430454,11/12
60.038340144709146,Bundesliga,FC Schalke 04,11.491071619996728,11/12
48.26029253465845,Bundesliga,Hannover 96,5.386766288870967,11/12
48.0488117168397,Bundesliga,VfL Wolfsburg,1.1276588713955853,11/12
38.091120551328906,Bundesliga,1. FC Köln,-4.561708786623027,11/12
46.046613412953356,Bundesliga,Hertha BSC Berlin,-11.399554589423946,11/12
55.18526597969998,Bundesliga,SV Werder Bremen,-8.244089509111744,11/12
50.037757577086694,Bundesliga,TSG 1899 Hoffenheim,-4.214228165321986,11/12
54.306667028640916,Bundesliga,Borussia Mönchengladbach,12.752156500770852,11/12
55.45853813248219,Bundesliga,VfB Stuttgart,3.7767559851648715,11/12
40.1869630142017,Bundesliga,SC Freiburg,4.5189193387394715,11/12
46.32494025039364,Bundesliga,1. FC Nürnberg,0.6162362201945996,11/12
49.40579521286016,Bundesliga,1. FSV Mainz 05,-5.8175599187425195,11/12
40.83614892132731,Bundesliga,1. FC Kaiserslautern,-15.130266568386132,11/12
36.59705812705202,Bundesliga,FC Augsburg,5.873530108242095,11/12
46.16113516205213,Serie A,Atalanta,8.12457912366215,11/12
44.42911883190719,Serie A,Siena,-4.318007720796068,11/12
46.1753276338561,Serie A,Cagliari,-3.953105411633873,11/12
57.245297493621855,Serie A,Lazio,5.0324802841559215,11/12
47.04467421515281,Serie A,Catania,-0.10349774456457043,11/12
49.6205290496728,Serie A,Genoa,-7.398306827450572,11/12
43.91194523783543,Serie A,Chievo Verona,3.3312980054078145,11/12
52.58665415302153,Serie A,Fiorentina,-5.645477682433293,11/12
75.87937694221996,Serie A,Juventus,9.892051629208606,11/12
75.43981090685112,Serie A,Milan,3.6412701742299562,11/12
41.29948061233237,Serie A,Bologna,6.4719479590962,11/12
61.40613155466863,Serie A,Roma,-5.46168711022419,11/12
65.81283362238273,Serie A,Napoli,-2.4795002890493927,11/12
65.98696948468434,Serie A,Inter,-5.820302818017671,11/12
38.7817194848035,Serie A,Lecce,-1.8674337705177901,11/12
58.1549229947327,Serie A,Udinese,8.3450770052673,11/12
47.542083755456126,Serie A,Palermo,-4.542083755456128,11/12
46.28943892194414,Serie A,Parma,10.710561078055862,11/12
35.31497893958868,Serie A,Cesena,-12.962037763118085,11/12
35.743272323339156,Serie A,Novara,-5.132161212228042,11/12
61.94280239885215,La Liga,Valencia CF,-0.9428023988521474,11/12
44.31760859002545,La Liga,RCD Mallorca,7.682391409974548,11/12
45.378427621223324,La Liga,CA Osasuna,8.621572378776685,11/12
50.381254994762216,La Liga,Villarreal CF,-9.38125499476221,11/12
90.60089928854433,La Liga,Real Madrid CF,9.399100711455668,11/12
94.4684597683825,La Liga,FC Barcelona,-3.4684597683825027,11/12
36.9294337994095,La Liga,Racing Santander,-9.929433799409498,11/12
57.05066839659887,La Liga,Sevilla FC,-7.050668396598864,11/12
39.883112167915684,La Liga,Real Sporting de Gijón,-2.8831121679156855,11/12
45.92364187596809,La Liga,Getafe CF,1.0763581240319153,11/12
48.15595723109736,La Liga,Real Betis Balompié,-1.1559572310973587,11/12
46.88364197844983,La Liga,RCD Espanyol,-0.8836419784498277,11/12
54.51332482257612,La Liga,Athletic Club de Bilbao,-5.51332482257612,11/12
61.089594953278024,La Liga,Atlético Madrid,-5.089594953278028,11/12
57.747045113203555,La Liga,Málaga CF,0.2529548867964495,11/12
40.78695117108609,La Liga,Real Zaragoza,2.2130488289139154,11/12
44.20724223049767,La Liga,Levante UD,10.792757769502328,11/12
42.95514232491269,La Liga,Real Sociedad,4.044857675087311,11/12
39.36943446932597,La Liga,Granada CF,2.6305655306740268,11/12
44.09866274609712,La Liga,Rayo Vallecano,-1.0986627460971172,11/12
77.64661333447938,Premier League,Manchester United,11.353386665520606,12/13
47.4021028113516,Premier League,Newcastle United,-6.402102811351599,12/13
69.99382336855945,Premier League,Arsenal,3.006176631440545,12/13
45.65695807235659,Premier League,West Bromwich Albion,3.343041927643416,12/13
41.1670639913046,Premier League,Sunderland,-2.167063991304605,12/13
67.79322062577839,Premier League,Liverpool,-6.793220625778385,12/13
44.11750396157083,Premier League,West Ham United,1.8824960384291662,12/13
42.70085382429355,Premier League,Wigan Athletic,-6.7008538242935485,12/13
39.76555931950913,Premier League,Aston Villa,1.2344406804908594,12/13
77.93338802720301,Premier League,Manchester City,0.06661197279699738,12/13
61.30148806506694,Premier League,Everton,1.6985119349330402,12/13
63.57678496791726,Premier League,Tottenham Hotspur,8.423215032082734,12/13
44.04260139415658,Premier League,Stoke City,-2.0426013941565824,12/13
46.18948991254217,Premier League,Fulham,-3.1894899125421743,12/13
71.48692677382736,Premier League,Chelsea,3.5130732261726436,12/13
45.57008427202736,Premier League,Swansea City,0.42991572797265154,12/13
40.963813701335056,Premier League,Queens Park Rangers,-15.963813701335056,12/13
39.36408084650065,Premier League,Norwich City,4.635919153499356,12/13
43.038478097885296,Premier League,Southampton,-2.0384780978853017,12/13
35.00017337256482,Premier League,Reading,-7.0001733725648165,12/13
56.92545208178854,Ligue 1,Girondins de Bordeaux,-1.9254520817885474,12/13
49.4441529420935,Ligue 1,OGC Nice,14.555847057906492,12/13
49.686765272420246,Ligue 1,FC Lorient,3.313234727579757,12/13
63.618770575143294,Ligue 1,Olympique Lyonnais,3.3812294248567074,12/13
53.39966863953828,Ligue 1,Toulouse FC,-2.3996686395382745,12/13
78.48093600615121,Ligue 1,Paris Saint-Germain,4.519063993848784,12/13
43.53640623312901,Ligue 1,AS Nancy-Lorraine,-5.536406233129005,12/13
65.96413306391145,Ligue 1,LOSC Lille,-3.9641330639114454,12/13
53.599597988975084,Ligue 1,Stade Rennais FC,-7.599597988975081,12/13
63.32464547250201,Ligue 1,Olympique de Marseille,7.675354527497987,12/13
40.74667266220769,Ligue 1,FC Sochaux-Montbéliard,0.25332733779230887,12/13
47.77461458764742,Ligue 1,Valenciennes FC,0.2253854123525718,12/13
60.85040685019598,Ligue 1,AS Saint-Étienne,2.14959314980402,12/13
57.980857575963554,Ligue 1,Montpellier Hérault SC,-5.980857575963551,12/13
38.04530801494798,Ligue 1,Stade Brestois 29,-9.045308014947974,12/13
42.06680259216669,Ligue 1,AC Ajaccio,-0.06680259216668993,12/13
44.52412282579004,Ligue 1,Évian Thonon Gaillard FC,-4.524122825790037,12/13
40.557761084411396,Ligue 1,Stade de Reims,2.4422389155886077,12/13
43.212304185927884,Ligue 1,SC Bastia,3.7876958140721104,12/13
40.572114160254145,Ligue 1,ES Troyes AC,-3.5721141602541477,12/13
87.74584774265364,Bundesliga,FC Bayern Munich,13.960034610287533,12/13
46.71237411012607,Bundesliga,Hamburger SV,6.93468471340334,12/13
62.87044250328439,Bundesliga,Bayer 04 Leverkusen,9.776616320245028,12/13
78.44611386664971,Bundesliga,Borussia Dortmund,-4.681407984296771,12/13
64.88347130656315,Bundesliga,FC Schalke 04,-3.412883071269037,12/13
46.26285796268616,Bundesliga,Hannover 96,4.031259684372664,12/13
48.49004783300584,Bundesliga,VfL Wolfsburg,-2.429441772399779,12/13
49.98225546220941,Bundesliga,Eintracht Frankfurt,7.017744537790581,12/13
51.24988090339943,Bundesliga,SV Werder Bremen,-13.249880903399436,12/13
45.516350166833234,Bundesliga,TSG 1899 Hoffenheim,-10.869291343303832,12/13
47.58208662345829,Bundesliga,Borussia Mönchengladbach,4.947325141247595,12/13
49.01588035829147,Bundesliga,VfB Stuttgart,0.4992711568600523,12/13
